2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-09-01 00:32:28 | INFO    | TRAIN | epoch=001/030 | batch=04700/05033 | loss=7.663684e-01 | stage_elapsed=00:51:43 | stage_eta=00:03:40 | data_wait=4.51s
2026-09-01 00:33:01 | INFO    | TRAIN | epoch=001/030 | batch=04750/05033 | loss=7.180632e-01 | stage_elapsed=00:52:16 | stage_eta=00:03:07 | data_wait=4.52s
2026-09-01 00:33:35 | INFO    | TRAIN | epoch=001/030 | batch=04800/05033 | loss=7.135405e-01 | stage_elapsed=00:52:50 | stage_eta=00:02:34 | data_wait=4.53s
2026-09-01 00:34:08 | INFO    | TRAIN | epoch=001/030 | batch=04850/05033 | loss=7.282721e-01 | stage_elapsed=00:53:22 | stage_eta=00:02:01 | data_wait=4.55s
2026-09-01 00:34:37 | INFO    | TRAIN | epoch=001/030 | batch=04900/05033 | loss=7.751876e-01 | stage_elapsed=00:53:52 | stage_eta=00:01:28 | data_wait=4.57s
2026-09-01 00:35:11 | INFO    | TRAIN | epoch=001/030 | batch=04950/05033 | loss=6.817253e-01 | stage_elapsed=00:54:26 | stage_eta=00:00:55 | data_wait=4.59s
2026-09-01 00:35:46 | INFO    | TRAIN | epoch=001/030 | batch=05000/05033 | loss=6.790621e-01 | stage_elapsed=00:55:01 | stage_eta=00:00:22 | data_wait=4.60s
2026-09-01 00:36:07 | INFO    | TRAIN | epoch=001/030 | batch=05033/05033 | loss=6.856210e-01 | stage_elapsed=00:55:22 | stage_eta=00:00:00 | data_wait=4.61s
2026-09-01 00:36:27 | INFO    | VAL | epoch=001/030 | batch=00050/00212 | loss=7.623979e-01 | stage_elapsed=00:00:20 | stage_eta=00:01:04 | data_wait=3.60s
2026-09-01 00:36:43 | INFO    | VAL | epoch=001/030 | batch=00100/00212 | loss=8.062850e-01 | stage_elapsed=00:00:36 | stage_eta=00:00:40 | data_wait=3.61s
2026-09-01 00:36:58 | INFO    | VAL | epoch=001/030 | batch=00150/00212 | loss=8.405371e-01 | stage_elapsed=00:00:51 | stage_eta=00:00:21 | data_wait=3.62s
2026-09-01 00:37:12 | INFO    | VAL | epoch=001/030 | batch=00200/00212 | loss=8.408164e-01 | stage_elapsed=00:01:05 | stage_eta=00:00:04 | data_wait=3.63s
